Region,Address,UnitNo,PostalCode,Lat,Long,,,
Central,"POSB SCIENCE PARK II (THE ALPHA)10 SCIENCE PARK ROAD",,048940,1.284013,103.850272,,,
Central,"POSB WEST COAST MARKET726 CLEMENTI WEST STREET 2",,069184,1.2800697,103.8449108,,,
Central,"POSB ZHENG HUA COMMUNITY CLUB1 SEGAR ROAD",,329802,1.325601,103.850723,,,
Central,"SENTOSA BEACH STATION50 BEACH VIEW",#01-13,048581,1.3007405,103.8396503,,,
Central,"XIN DE AN MEDICAL & MINIMART 105 CLEMENTI STREET 12, SUNSET WAY",,199018,1.303499,103.861257,,,
Central,"MICRO BRANCH CITIBANK53 ANG MO KIO AVENUE 3",,569933,1.369017,103.848122,,,
Central,"MILLENIA WALK9 RAFFLES BOULEVARD #02-K1",#02-K1,039192,1.291601,103.860166,,,
Central,"NAFA CAMPUS 180 BENCOOLEN STREET",,189655,1.299809,103.8512578,,,
Central,"NANYANG POLYTECHNICA 180 ANG MO KIO AVENUE 8",,569830,1.378461,103.848988,,,
Central,"NATIONAL LIBRARY100 VICTORIA STREET",,188064,1.2975132,103.8539367,,,
Central,"NCS HUB5 ANG MO KIO STREET 62",,569141,1.387928,103.844052,,,
Central,"NEWTON MRT STATION49 SCOTTS ROAD",,228234,1.3124622,103.8380377,,,
Central,"NOVENA MRT STATION250 THOMSON ROAD",,307642,1.3202681,103.8435124,,,
Central,"NTUC FAIRPRICE ORCHARD GRAND COURT131 KILLINEY ROAD",,239571,1.297592,103.838707,,,
Central,"NTUC INCOME CENTRE75 BRAS BASAH ROAD",,189557,1.287159,103.841239,,,
Central,"O MOCHI CAKE AND BAKERY PTE LTD632 ANG MO KIO AVENUE 4 #01-966",#01-966,560632,1.379999,103.841406,,,
Central,"ONE MARINA BOULEVARD1 MARINA BOULEVARD",,018989,1.282387,103.852437,,,
Central,"ORANGETEE BUILDING430 LORONG 6 TOA PAYOH",,319402,1.331579,103.849209,,,
Central,"ORCHARD CENTRAL 181 ORCHARD ROAD",,238896,1.3009279,103.8399306,,,
Central,"ORCHARD MRT STATION437 ORCHARD ROAD",,238878,1.303287,103.8323238,,,
Central,"OUTRAM PARK MRT STATION10 OUTRAM ROAD",,169037,1.281367,103.8391087,,,
Central,"PARK MALL9 PENANG ROAD BASEMENT 1",,238459,1.298048,103.844577,,,
Central,"PARKLANE SHOPPING MALL35 SELEGIE ROAD",,188307,1.300626,103.849458,,,
Central,"PEK KIO COMMUNITY CLUB21 GLOUCESTER ROAD",,219458,1.3129033,103.8519245,,,
Central,"PLAZA SINGAPURA - STATION 168 ORCHARD ROAD #B1-00",#B1-00,235539,1.3006139,103.8451045,,,
Central,"PLAZA SINGAPURA - STATION 268 ORCHARD ROAD #B1-00",#B1-00,235539,1.3006139,103.8451045,,,
Central,"POMO1 SELEGIE ROAD",,188306,1.3001259,103.849316,,,
Central,"POSB 158 MEILING STREET158 MEILING STREET",,140158,1.2926246,103.8027491,,,
Central,"POSB 22 ANG MO KIO INDUSTRIAL PARK 222 ANG MO KIO INDUSTRIAL PARK 2",,569506,1.302806,103.8357916,,,
Central,"POSB 36 TELOK BLANGAH RISE36 TELOK BLANGAH RISE",,090036,1.272617,103.821985,,,
Central,"POSB 453 ANG MO KIO453 ANG MO KIO AVENUE 10",,560453,1.368595,103.855861,,,
Central,"POSB 505 ANG MO KIO505 ANG MO KIO AVENEUE 8",,560505,1.374855,103.849951,,,
Central,"POSB 7 EMPRESS ROAD7 EMPRESS ROAD",,260007,1.3164558,103.8057946,,,
Central,"POSB 79 REDHILL LANE79 REDHILL LANE",,150079,1.2878266,103.8181035,,,
Central,"POSB 93 TOA PAYOH 93 LORONG 4 TOA PAYOH",,310093,1.338254,103.850025,,,
Central,"POSB ANG MO KIO ITE COLLEGE CENTRAL2 ANG MO KIO DRIVE",,567720,1.3777047,103.8554865,,,
Central,"POSB AUTO LOBBY TOA PAYOH LORONG 1107 TOA PAYOH LORONG 1",,310107,1.34131,103.847011,,,
